web-scraper-order,web-scraper-start-url,topLevelCategory,topLevelCategory-href,rank,image-src,title,pages,pages-href,url,ratings,price,reviewCount
1657646012-3292,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#22,"https://images-na.ssl-images-amazon.com/images/I/81dxAcfEXhL._AC_UL906_SR906,600_.jpg","Amazon Basics Enameled Cast Iron Covered Dutch Oven, 4.3-Quart, Blue",1,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/AmazonBasics-Enameled-Covered-Dutch-4-3-Quart/dp/B073Q9WV88/ref=zg_bs_home-garden_22/142-3285647-5902325?pd_rd_i=B077YQKX8V&psc=1,4.8 out of 5 stars,$44.06 ,"33,398"
1657646012-3271,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#1,"https://images-na.ssl-images-amazon.com/images/I/51MzOVciT3L._AC_UL906_SR906,600_.jpg",Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Glacier White,1,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/All-New-Echo-Dot-4th-Gen/dp/B07XJ8C8F7/ref=zg_bs_home-garden_1/142-3285647-5902325?pd_rd_i=B08DLSLCF3&psc=1,4.8 out of 5 stars,$49.99 ,"210,674"
1657646009-3241,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#51,"https://images-na.ssl-images-amazon.com/images/I/71tybZyMkuL._AC_UL906_SR906,600_.jpg","Keurig K-Mini Coffee Maker, Single Serve K-Cup Pod Coffee Brewer, 6 to 12 oz. Brew Sizes, Black",2,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Keurig-K-Mini-Single-Serve-Coffee/dp/B07GV2S1GS/ref=zg_bs_home-garden_1/142-3285647-5902325?pd_rd_i=B0B5L9HFQK&psc=1,4.6 out of 5 stars,$59.99 ,"66,953"
1657646009-3255,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#65,"https://images-na.ssl-images-amazon.com/images/I/71Z7l8gh4yL._AC_UL906_SR906,600_.jpg","Ninja NJ601AMZ Professional Blender with 1000-Watt Motor & 72 oz Dishwasher-Safe Total Crushing Pitcher for Smoothies, Shakes & Frozen Drinks, Black",2,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Ninja-NJ601AMZ-Professional-1000-Watt-Dishwasher-Safe/dp/B098RD17LG/ref=zg_bs_home-garden_15/142-3285647-5902325?pd_rd_i=B098RD17LG&psc=1,4.7 out of 5 stars,$69.95 ,535
1657646009-3256,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#66,"https://images-na.ssl-images-amazon.com/images/I/51zz3VlR4JL._AC_UL906_SR906,600_.jpg","Tempera 9' Outdoor Market Patio Table Umbrella with Push Button Tilt and Crank,Large Sun Umbrella with Sturdy Pole&Fade resistant canopy,Easy to set,Apple Green",2,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Tempera-Umbrella-Outdoor-Garden-Button/dp/B084233QPJ/ref=zg_bs_home-garden_16/142-3285647-5902325?pd_rd_i=B09R3ZFZ2C&psc=1,4.7 out of 5 stars,$69.99 ,"4,618"
1657646009-3248,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#58,"https://images-na.ssl-images-amazon.com/images/I/714q4zXSbgL._AC_UL906_SR906,600_.jpg","Amazon Basics Foldable Metal Platform Bed Frame with Tool Free Setup, 14 Inches High, Twin, Black",2,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/AmazonBasics-Foldable-Platform-Under-Bed-Storage/dp/B073WR319C/ref=zg_bs_home-garden_8/142-3285647-5902325?pd_rd_i=B084QV5F98&psc=1,4.8 out of 5 stars,$82.00 ,"82,918"
1657646012-3273,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#3,"https://images-na.ssl-images-amazon.com/images/I/715shoBi24L._AC_UL906_SR906,600_.jpg","BISSELL Little Green Multi-Purpose Portable Carpet and Upholstery Cleaner, 1400B",1,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/Bissell-Multi-Purpose-Portable-Upholstery-1400B/dp/B0016HF5GK/ref=zg_bs_home-garden_3/142-3285647-5902325?pd_rd_i=B0B5GBD7T7&psc=1,4.6 out of 5 stars,$89.00 ,"43,065"
1657646009-3245,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#55,"https://images-na.ssl-images-amazon.com/images/I/71WDOhMarhL._AC_UL906_SR906,600_.jpg","LEVOIT Air Purifier for Home Allergies Pets Hair in Bedroom, H13 True HEPA Filter, 24db Filtration System Cleaner Odor Eliminators, Ozone Free, Remove 99.97% Dust Smoke Mold Pollen, Core 300, White",2,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/LEVOIT-Purifier-Home-Allergies-Pets/dp/B07VVK39F7/ref=zg_bs_home-garden_5/142-3285647-5902325?pd_rd_i=B09WMSWRLB&psc=1,4.7 out of 5 stars,$99.95 ,"63,118"
1657646012-3281,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#11,"https://images-na.ssl-images-amazon.com/images/I/61wE84vd-FL._AC_UL906_SR906,600_.jpg","Keurig K- Slim Single Serve K-Cup Pod Coffee Maker, Multistream Technology, Black",1,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/Keurig-K-Slim-Coffee-Single-Brewer/dp/B083248S3B/ref=zg_bs_home-garden_11/142-3285647-5902325?pd_rd_i=B0B686HX1H&psc=1,4.6 out of 5 stars,$99.99 ,"44,379"
1657646009-3246,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#56,"https://images-na.ssl-images-amazon.com/images/I/71EB7u6C85L._AC_UL906_SR906,600_.jpg","Shark WANDVAC Cordless Hand Vac Lightweight and Portable at 1.4 lbs. with Powerful Suction, Charging Dock, One-Touch Empty for Car & Home, Cove",2,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Shark-Cordless-Lightweight-Portable-One-Touch/dp/B09239P7Z9/ref=zg_bs_home-garden_6/142-3285647-5902325?pd_rd_i=B092SZ14XT&psc=1,4.5 out of 5 stars,$117.89 ,"11,222"
